Starting heuristic evaluation for 20 boards...

Evaluating Board 0 (Seed: 0)
  Strategy: MIS         , Score: 1495  , Steps: 23
  Strategy: LGP         , Score: 1310  , Steps: 25
  Strategy: CRP         , Score: 1495  , Steps: 23
  Strategy: MISPS       , Score: 3370  , Steps: 31
  Strategy: SGP         , Score: 1295  , Steps: 35
  Strategy: ClrFocus    , Score: 1495  , Steps: 23
  Strategy: AvdOrphn    , Score: 1495  , Steps: 23
  Strategy: PrsrvLrgC   , Score: 2085  , Steps: 28
  Strategy: CnctFcs     , Score: 1335  , Steps: 28
  Strategy: MISPS_CTB   , Score: 3370  , Steps: 31

Evaluating Board 1 (Seed: 1)
  Strategy: MIS         , Score: 1395  , Steps: 25
  Strategy: LGP         , Score: 1205  , Steps: 27
  Strategy: CRP         , Score: 1395  , Steps: 25
  Strategy: MISPS       , Score: 1575  , Steps: 28
  Strategy: SGP         , Score: 1140  , Steps: 31
  Strategy: ClrFocus    , Score: 1395  , Steps: 25
  Strategy: AvdOrphn    , Score: 1395  , Steps: 25
  Strategy: PrsrvLrgC   , Score: 1260  , Steps: 30
  Strategy: CnctFcs     , Score: 1090  , Steps: 26
  Strategy: MISPS_CTB   , Score: 1575  , Steps: 28

Evaluating Board 2 (Seed: 2)
  Strategy: MIS         , Score: 1580  , Steps: 28
  Strategy: LGP         , Score: 1675  , Steps: 26
  Strategy: CRP         , Score: 1580  , Steps: 28
  Strategy: MISPS       , Score: 3820  , Steps: 31
  Strategy: SGP         , Score: 1920  , Steps: 31
  Strategy: ClrFocus    , Score: 1580  , Steps: 28
  Strategy: AvdOrphn    , Score: 1580  , Steps: 28
  Strategy: PrsrvLrgC   , Score: 1895  , Steps: 26
  Strategy: CnctFcs     , Score: 2085  , Steps: 28
  Strategy: MISPS_CTB   , Score: 3820  , Steps: 31

Evaluating Board 3 (Seed: 3)
  Strategy: MIS         , Score: 1465  , Steps: 29
  Strategy: LGP         , Score: 1500  , Steps: 23
  Strategy: CRP         , Score: 1465  , Steps: 29
  Strategy: MISPS       , Score: 2765  , Steps: 30
  Strategy: SGP         , Score: 2030  , Steps: 39
  Strategy: ClrFocus    , Score: 1465  , Steps: 29
  Strategy: AvdOrphn    , Score: 1465  , Steps: 29
  Strategy: PrsrvLrgC   , Score: 1210  , Steps: 27
  Strategy: CnctFcs     , Score: 1390  , Steps: 29
  Strategy: MISPS_CTB   , Score: 2765  , Steps: 30

Evaluating Board 4 (Seed: 4)
  Strategy: MIS         , Score: 1505  , Steps: 24
  Strategy: LGP         , Score: 1555  , Steps: 26
  Strategy: CRP         , Score: 1505  , Steps: 24
  Strategy: MISPS       , Score: 2725  , Steps: 29
  Strategy: SGP         , Score: 985   , Steps: 30
  Strategy: ClrFocus    , Score: 1505  , Steps: 24
  Strategy: AvdOrphn    , Score: 1505  , Steps: 24
  Strategy: PrsrvLrgC   , Score: 1660  , Steps: 27
  Strategy: CnctFcs     , Score: 1660  , Steps: 26
  Strategy: MISPS_CTB   , Score: 2725  , Steps: 29

Evaluating Board 5 (Seed: 5)
  Strategy: MIS         , Score: 1515  , Steps: 26
  Strategy: LGP         , Score: 1355  , Steps: 25
  Strategy: CRP         , Score: 1515  , Steps: 26
  Strategy: MISPS       , Score: 2060  , Steps: 25
  Strategy: SGP         , Score: 1375  , Steps: 29
  Strategy: ClrFocus    , Score: 1515  , Steps: 26
  Strategy: AvdOrphn    , Score: 1515  , Steps: 26
  Strategy: PrsrvLrgC   , Score: 1800  , Steps: 24
  Strategy: CnctFcs     , Score: 1870  , Steps: 28
  Strategy: MISPS_CTB   , Score: 2060  , Steps: 25

Evaluating Board 6 (Seed: 6)
  Strategy: MIS         , Score: 1285  , Steps: 28
  Strategy: LGP         , Score: 1165  , Steps: 27
  Strategy: CRP         , Score: 1285  , Steps: 28
  Strategy: MISPS       , Score: 1440  , Steps: 24
  Strategy: SGP         , Score: 1335  , Steps: 27
  Strategy: ClrFocus    , Score: 1285  , Steps: 28
  Strategy: AvdOrphn    , Score: 1285  , Steps: 28
  Strategy: PrsrvLrgC   , Score: 2070  , Steps: 27
  Strategy: CnctFcs     , Score: 1530  , Steps: 28
  Strategy: MISPS_CTB   , Score: 1440  , Steps: 24

Evaluating Board 7 (Seed: 7)
  Strategy: MIS         , Score: 1605  , Steps: 26
  Strategy: LGP         , Score: 1585  , Steps: 21
  Strategy: CRP         , Score: 1605  , Steps: 26
  Strategy: MISPS       , Score: 1710  , Steps: 27
  Strategy: SGP         , Score: 1295  , Steps: 33
  Strategy: ClrFocus    , Score: 1605  , Steps: 26
  Strategy: AvdOrphn    , Score: 1605  , Steps: 26
  Strategy: PrsrvLrgC   , Score: 3135  , Steps: 31
  Strategy: CnctFcs     , Score: 3820  , Steps: 32
  Strategy: MISPS_CTB   , Score: 1710  , Steps: 27

Evaluating Board 8 (Seed: 8)
  Strategy: MIS         , Score: 1305  , Steps: 28
